,amiiboSeries,character,gameSeries,head,image,name,release,tail,type,pais
0,Mario Sports Superstars,Metal Mario,Mario Sports Superstars,09d00301,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_09d00301-02bb0e02.png,Metal Mario - Tennis,"{'au': '2017-03-11', 'eu': '2017-03-10', 'jp': '2017-03-30', 'na': '2017-03-24'}",02bb0e02,Card,NULL
1,Others,Mario Cereal,Kellogs,37400001,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_37400001-03741402.png,Super Mario Cereal,"{'au': None, 'eu': None, 'jp': None, 'na': '2017-12-11'}",03741402,Card,NULL
2,Mario Sports Superstars,Baby Mario,Mario Sports Superstars,09cc0101,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_09cc0101-02a50e02.png,Baby Mario - Soccer,"{'au': '2017-03-11', 'eu': '2017-03-10', 'jp': '2017-03-30', 'na': '2017-03-24'}",02a50e02,Card,NULL
3,Mario Sports Superstars,Metal Mario,Mario Sports Superstars,09d00101,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_09d00101-02b90e02.png,Metal Mario - Soccer,"{'au': '2017-03-11', 'eu': '2017-03-10', 'jp': '2017-03-30', 'na': '2017-03-24'}",02b90e02,Card,NULL
4,Mario Sports Superstars,Mario,Mario Sports Superstars,09c00101,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_09c00101-02690e02.png,Mario - Soccer,"{'au': '2017-03-11', 'eu': '2017-03-10', 'jp': '2017-03-30', 'na': '2017-03-24'}",02690e02,Card,NULL
5,Super Mario Bros.,Mario,Super Mario,00000000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_00000000-00340102.png,Mario,"{'au': '2015-03-21', 'eu': '2015-03-20', 'jp': '2015-03-12', 'na': '2015-03-20'}",00340102,Figure,NULL
6,8-bit Mario,Mario,Super Mario,00000000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_00000000-02390602.png,8-Bit Mario Modern Color,"{'au': '2015-10-24', 'eu': '2015-10-23', 'jp': '2015-09-10', 'na': '2015-09-11'}",02390602,Figure,NULL
7,Super Smash Bros.,Mario,Super Mario,00000100,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_00000100-00190002.png,Dr. Mario,"{'au': '2015-07-23', 'eu': '2015-07-17', 'jp': '2015-07-17', 'na': '2015-09-11'}",00190002,Figure,NULL
8,Mario Sports Superstars,Baby Mario,Mario Sports Superstars,09cc0501,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_09cc0501-02a90e02.png,Baby Mario - Horse Racing,"{'au': '2017-03-11', 'eu': '2017-03-10', 'jp': '2017-03-30', 'na': '2017-03-24'}",02a90e02,Card,NULL
9,Super Mario Bros.,Mario,Super Mario,00000300,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_00000300-03a60102.png,Mario - Cat,"{'au': '2021-02-12', 'eu': '2021-02-12', 'jp': '2021-02-12', 'na': '2021-02-12'}",03a60102,Figure,NULL
10,Mario Sports Superstars,Baby Mario,Mario Sports Superstars,09cc0401,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_09cc0401-02a80e02.png,Baby Mario - Golf,"{'au': '2017-03-11', 'eu': '2017-03-10', 'jp': '2017-03-30', 'na': '2017-03-24'}",02a80e02,Card,NULL
11,Super Mario Bros.,Mario,Super Mario,00000000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_00000000-03710102.png,Mario - Wedding,"{'au': '2017-10-27', 'eu': '2017-10-27', 'jp': '2017-10-27', 'na': '2017-10-27'}",03710102,Figure,NULL
12,Mario Sports Superstars,Metal Mario,Mario Sports Superstars,09d00401,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_09d00401-02bc0e02.png,Metal Mario - Golf,"{'au': '2017-03-11', 'eu': '2017-03-10', 'jp': '2017-03-30', 'na': '2017-03-24'}",02bc0e02,Card,NULL
13,Super Smash Bros.,Mario,Super Mario,00000000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_00000000-00000002.png,Mario,"{'au': '2014-11-29', 'eu': '2014-11-28', 'jp': '2014-12-06', 'na': '2014-11-21'}",00000002,Figure,NULL
14,Mario Sports Superstars,Mario,Mario Sports Superstars,09c00301,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_09c00301-026b0e02.png,Mario - Tennis,"{'au': '2017-03-11', 'eu': '2017-03-10', 'jp': '2017-03-30', 'na': '2017-03-24'}",026b0e02,Card,NULL
15,Mario Sports Superstars,Baby Mario,Mario Sports Superstars,09cc0301,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_09cc0301-02a70e02.png,Baby Mario - Tennis,"{'au': '2017-03-11', 'eu': '2017-03-10', 'jp': '2017-03-30', 'na': '2017-03-24'}",02a70e02,Card,NULL
16,Super Mario Bros.,Mario,Super Mario,00000000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_00000000-003c0102.png,Mario - Gold Edition,"{'au': '2015-06-25', 'eu': None, 'jp': '2015-12-17', 'na': '2015-03-20'}",003c0102,Figure,NULL
17,Super Nintendo World,Mario,Super Mario,00000003,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_00000003-039bff02.png,Mario - Power Up Band,"{'au': None, 'eu': None, 'jp': '2021-02-04', 'na': None}",039bff02,Band,NULL
18,Mario Sports Superstars,Metal Mario,Mario Sports Superstars,09d00501,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_09d00501-02bd0e02.png,Metal Mario - Horse Racing,"{'au': '2017-03-11', 'eu': '2017-03-10', 'jp': '2017-03-30', 'na': '2017-03-24'}",02bd0e02,Card,NULL
19,Mario Sports Superstars,Baby Mario,Mario Sports Superstars,09cc0201,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_09cc0201-02a60e02.png,Baby Mario - Baseball,"{'au': '2017-03-11', 'eu': '2017-03-10', 'jp': '2017-03-30', 'na': '2017-03-24'}",02a60e02,Card,NULL
20,Mario Sports Superstars,Mario,Mario Sports Superstars,09c00401,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_09c00401-026c0e02.png,Mario - Golf,"{'au': '2017-03-11', 'eu': '2017-03-10', 'jp': '2017-03-30', 'na': '2017-03-24'}",026c0e02,Card,NULL
21,Super Mario Bros.,Mario,Super Mario,00000000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_00000000-003d0102.png,Mario - Silver Edition,"{'au': '2015-05-30', 'eu': None, 'jp': None, 'na': '2015-05-29'}",003d0102,Figure,NULL
22,Mario Sports Superstars,Mario,Mario Sports Superstars,09c00501,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_09c00501-026d0e02.png,Mario - Horse Racing,"{'au': '2017-03-11', 'eu': '2017-03-10', 'jp': '2017-03-30', 'na': '2017-03-24'}",026d0e02,Card,NULL
23,8-bit Mario,Mario,Super Mario,00000000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_00000000-02380602.png,8-Bit Mario Classic Color,"{'au': '2015-09-12', 'eu': '2015-11-09', 'jp': '2015-09-10', 'na': '2015-09-11'}",02380602,Figure,NULL
24,Mario Sports Superstars,Metal Mario,Mario Sports Superstars,09d00201,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_09d00201-02ba0e02.png,Metal Mario - Baseball,"{'au': '2017-03-11', 'eu': '2017-03-10', 'jp': '2017-03-30', 'na': '2017-03-24'}",02ba0e02,Card,NULL
25,Mario Sports Superstars,Mario,Mario Sports Superstars,09c00201,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_09c00201-026a0e02.png,Mario - Baseball,"{'au': '2017-03-11', 'eu': '2017-03-10', 'jp': '2017-03-30', 'na': '2017-03-24'}",026a0e02,Card,NULL
